,"Area
Code",St,Cnty,Own,NAICS,Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
32,01000,01,0.0,5,1025,2021,1,State,Alabama,Alabama -- Statewide,Private,1025 Education and health services,,16674,227430,229551,228329,2737746891,922,0.73,0.86
33,01000,01,0.0,5,1026,2021,1,State,Alabama,Alabama -- Statewide,Private,1026 Leisure and hospitality,,11446,175169,177973,181532,829395711,358,1.03,1.01
34,01000,01,0.0,5,1027,2021,1,State,Alabama,Alabama -- Statewide,Private,1027 Other services,,9285,42182,42773,43196,439971905,792,0.78,0.96
35,01000,01,0.0,5,1029,2021,1,State,Alabama,Alabama -- Statewide,Private,1029 Unclassified,,1,5,1,1,22309,735,0.0,0.0
1193,02000,02,0.0,0,10,2021,1,State,Alaska,Alaska -- Statewide,Total Covered,"10 Total, all industries",,23153,287474,292657,295312,4261206687,1123,1.0,1.0
1194,02000,02,0.0,1,10,2021,1,State,Alaska,Alaska -- Statewide,Federal Government,"10 Total, all industries",,558,14585,14610,14746,290486657,1526,2.45,2.7
1195,02000,02,0.0,2,10,2021,1,State,Alaska,Alaska -- Statewide,State Government,"10 Total, all industries",,838,21241,21583,21666,309042964,1106,2.23,2.27
1196,02000,02,0.0,3,10,2021,1,State,Alaska,Alaska -- Statewide,Local Government,"10 Total, all industries",,644,37659,38182,38238,494004327,999,1.32,1.43
1197,02000,02,0.0,5,10,2021,1,State,Alaska,Alaska -- Statewide,Private,"10 Total, all industries",,21113,213989,218282,220662,3167672739,1120,0.88,0.86
1198,02000,02,0.0,5,101,2021,1,State,Alaska,Alaska -- Statewide,Private,101 Goods-producing,,3673,33218,34845,35822,789526794,1754,0.81,1.18
1199,02000,02,0.0,5,1011,2021,1,State,Alaska,Alaska -- Statewide,Private,1011 Natural resources and mining,,565,10973,11106,11364,419204917,2893,3.31,9.02
1200,02000,02,0.0,5,1012,2021,1,State,Alaska,Alaska -- Statewide,Private,1012 Construction,,2485,13061,13246,13620,234201395,1354,0.91,1.14
1201,02000,02,0.0,5,1013,2021,1,State,Alaska,Alaska -- Statewide,Private,1013 Manufacturing,,623,9184,10493,10838,136120482,1029,0.42,0.33
1202,02000,02,0.0,5,102,2021,1,State,Alaska,Alaska -- Statewide,Private,102 Service-providing,,17440,180771,183437,184840,2378145945,1000,0.89,0.79
1203,02000,02,0.0,5,1021,2021,1,State,Alaska,Alaska -- Statewide,Private,"1021 Trade, transportation, and utilities",,4345,58444,58680,58767,765142510,1004,1.04,1.18
1204,02000,02,0.0,5,1022,2021,1,State,Alaska,Alaska -- Statewide,Private,1022 Information,,414,4682,4702,4724,86513651,1415,0.82,0.43
1205,02000,02,0.0,5,1023,2021,1,State,Alaska,Alaska -- Statewide,Private,1023 Financial activities,,1550,10207,10306,10346,187708490,1404,0.6,0.35
1206,02000,02,0.0,5,1024,2021,1,State,Alaska,Alaska -- Statewide,Private,1024 Professional and business services,,3831,24697,25323,25668,398698893,1216,0.59,0.47
1207,02000,02,0.0,5,1025,2021,1,State,Alaska,Alaska -- Statewide,Private,1025 Education and health services,,2737,49342,50006,50231,693973756,1071,1.06,1.27
1208,02000,02,0.0,5,1026,2021,1,State,Alaska,Alaska -- Statewide,Private,1026 Leisure and hospitality,,2694,24534,25445,26113,149719343,454,0.97,1.06
1209,02000,02,0.0,5,1027,2021,1,State,Alaska,Alaska -- Statewide,Private,1027 Other services,,1766,8785,8877,8893,95291473,828,1.06,1.22
1210,02000,02,0.0,5,1029,2021,1,State,Alaska,Alaska -- Statewide,Private,1029 Unclassified,,103,80,98,98,1097829,918,0.25,0.2
1736,04000,04,0.0,0,10,2021,1,State,Arizona,Arizona -- Statewide,Total Covered,"10 Total, all industries",,176357,2863340,2888128,2897464,43025567909,1148,1.0,1.0
1737,04000,04,0.0,1,10,2021,1,State,Arizona,Arizona -- Statewide,Federal Government,"10 Total, all industries",,790,56872,56996,56988,1098687982,1484,0.96,1.01
1738,04000,04,0.0,2,10,2021,1,State,Arizona,Arizona -- Statewide,State Government,"10 Total, all industries",,324,69866,69675,69721,1007733228,1111,0.73,0.73
1739,04000,04,0.0,3,10,2021,1,State,Arizona,Arizona -- Statewide,Local Government,"10 Total, all industries",,1585,259743,262432,262800,3344514974,983,0.93,0.96
1740,04000,04,0.0,5,10,2021,1,State,Arizona,Arizona -- Statewide,Private,"10 Total, all industries",,173658,2476859,2499025,2507955,37574631725,1159,1.02,1.01
1741,04000,04,0.0,5,101,2021,1,State,Arizona,Arizona -- Statewide,Private,101 Goods-producing,,21056,391939,393348,394251,7234548228,1415,0.91,1.07
1742,04000,04,0.0,5,1011,2021,1,State,Arizona,Arizona -- Statewide,Private,1011 Natural resources and mining,,1325,40584,39757,38085,625967988,1220,1.13,1.33
1743,04000,04,0.0,5,1012,2021,1,State,Arizona,Arizona -- Statewide,Private,1012 Construction,,14514,173389,174489,176188,2660003614,1171,1.2,1.28
1744,04000,04,0.0,5,1013,2021,1,State,Arizona,Arizona -- Statewide,Private,1013 Manufacturing,,5217,177966,179102,179978,3948576626,1697,0.72,0.94
1745,04000,04,0.0,5,102,2021,1,State,Arizona,Arizona -- Statewide,Private,102 Service-providing,,152602,2084920,2105677,2113704,30340083497,1111,1.04,1.0
1746,04000,04,0.0,5,1021,2021,1,State,Arizona,Arizona -- Statewide,Private,"1021 Trade, transportation, and utilities",,34558,569148,570243,570188,7346789433,992,1.03,1.12
1747,04000,04,0.0,5,1022,2021,1,State,Arizona,Arizona -- Statewide,Private,1022 Information,,4309,45456,46171,45778,1202647307,2020,0.81,0.59
1748,04000,04,0.0,5,1023,2021,1,State,Arizona,Arizona -- Statewide,Private,1023 Financial activities,,21672,231164,232561,233286,5687446056,1883,1.37,1.05
1749,04000,04,0.0,5,1024,2021,1,State,Arizona,Arizona -- Statewide,Private,1024 Professional and business services,,43423,436371,442122,442583,7341172453,1282,1.04,0.86
1750,04000,04,0.0,5,1025,2021,1,State,Arizona,Arizona -- Statewide,Private,1025 Education and health services,,21340,456799,460488,460465,6153426767,1031,0.99,1.12
1751,04000,04,0.0,5,1026,2021,1,State,Arizona,Arizona -- Statewide,Private,1026 Leisure and hospitality,,14549,275203,282508,288955,1854608291,505,1.09,1.31
1752,04000,04,0.0,5,1027,2021,1,State,Arizona,Arizona -- Statewide,Private,1027 Other services,,11291,70376,71083,71882,745154286,806,0.87,0.94
1753,04000,04,0.0,5,1029,2021,1,State,Arizona,Arizona -- Statewide,Private,1029 Unclassified,,1460,403,501,567,8838904,1387,0.15,0.16
2039,05000,05,0.0,0,10,2021,1,State,Arkansas,Arkansas -- Statewide,Total Covered,"10 Total, all industries",,94928,1182148,1180293,1196838,14729645402,955,1.0,1.0
2040,05000,05,0.0,1,10,2021,1,State,Arkansas,Arkansas -- Statewide,Federal Government,"10 Total, all industries",,1191,20394,20345,20339,353936087,1337,0.83,0.95
2041,05000,05,0.0,2,10,2021,1,State,Arkansas,Arkansas -- Statewide,State Government,"10 Total, all industries",,1056,64527,65581,66065,813396004,957,1.67,1.73
2042,05000,05,0.0,3,10,2021,1,State,Arkansas,Arkansas -- Statewide,Local Government,"10 Total, all industries",,1997,109895,109665,109943,1052499715,737,0.94,0.88
2043,05000,05,0.0,5,10,2021,1,State,Arkansas,Arkansas -- Statewide,Private,"10 Total, all industries",,90684,987332,984702,1000491,12509813596,971,0.98,0.99
2044,05000,05,0.0,5,101,2021,1,State,Arkansas,Arkansas -- Statewide,Private,101 Goods-producing,,13068,223793,222835,227028,2751736141,943,1.27,1.19
2045,05000,05,0.0,5,1011,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1011 Natural resources and mining,,2570,15072,14991,15604,173106507,875,1.12,1.08
2046,05000,05,0.0,5,1012,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1012 Construction,,7483,53148,52118,54466,638430742,922,0.9,0.9
2047,05000,05,0.0,5,1013,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1013 Manufacturing,,3015,155573,155726,156958,1940198892,956,1.51,1.34
2048,05000,05,0.0,5,102,2021,1,State,Arkansas,Arkansas -- Statewide,Private,102 Service-providing,,77616,763539,761867,773463,9758077455,980,0.92,0.94
2049,05000,05,0.0,5,1021,2021,1,State,Arkansas,Arkansas -- Statewide,Private,"1021 Trade, transportation, and utilities",,21982,246018,244380,247522,2896688551,906,1.08,1.29
2050,05000,05,0.0,5,1022,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1022 Information,,1806,11174,11171,11144,239093246,1648,0.48,0.34
2051,05000,05,0.0,5,1023,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1023 Financial activities,,9215,52056,52201,52152,959043596,1415,0.74,0.52
2052,05000,05,0.0,5,1024,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1024 Professional and business services,,16134,143137,143327,144780,2926016434,1566,0.82,1.01
2053,05000,05,0.0,5,1025,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1025 Education and health services,,15431,181922,181346,182761,2018972675,853,0.95,1.07
2054,05000,05,0.0,5,1026,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1026 Leisure and hospitality,,7516,105220,105442,110370,489357685,352,1.01,1.01
2055,05000,05,0.0,5,1027,2021,1,State,Arkansas,Arkansas -- Statewide,Private,1027 Other services,,5532,24012,24000,24734,228905268,726,0.72,0.85
3346,06000,06,0.0,0,10,2021,1,State,California,California -- Statewide,Total Covered,"10 Total, all industries",,1639030,16055880,16387062,16497608,344150870259,1623,1.0,1.0
3347,06000,06,0.0,1,10,2021,1,State,California,California -- Statewide,Federal Government,"10 Total, all industries",,3331,252315,251114,250490,5240036732,1604,0.74,0.6
3348,06000,06,0.0,2,10,2021,1,State,California,California -- Statewide,State Government,"10 Total, all industries",,13567,512355,519788,523800,10877183477,1613,0.96,0.99
3349,06000,06,0.0,3,10,2021,1,State,California,California -- Statewide,Local Government,"10 Total, all industries",,19243,1660020,1648320,1663138,31189973456,1448,1.03,1.11
3350,06000,06,0.0,5,10,2021,1,State,California,California -- Statewide,Private,"10 Total, all industries",,1602889,13631190,13967840,14060180,296843676594,1644,1.0,1.0
3351,06000,06,0.0,5,101,2021,1,State,California,California -- Statewide,Private,101 Goods-producing,,149251,2450707,2485376,2488534,54435228627,1692,1.01,1.01
3352,06000,06,0.0,5,1011,2021,1,State,California,California -- Statewide,Private,1011 Natural resources and mining,,17648,363077,370102,360625,3575272188,754,1.88,0.95
3353,06000,06,0.0,5,1012,2021,1,State,California,California -- Statewide,Private,1012 Construction,,87314,848011,861838,866909,15766639995,1412,1.04,0.95
3354,06000,06,0.0,5,1013,2021,1,State,California,California -- Statewide,Private,1013 Manufacturing,,44289,1239619,1253436,1261000,35093316444,2157,0.88,1.04
3355,06000,06,0.0,5,102,2021,1,State,California,California -- Statewide,Private,102 Service-providing,,1453638,11180483,11482464,11571646,242408447967,1634,1.0,1.0
3356,06000,06,0.0,5,1021,2021,1,State,California,California -- Statewide,Private,"1021 Trade, transportation, and utilities",,202737,2975786,2973558,2969286,44459756300,1150,0.94,0.85
3357,06000,06,0.0,5,1022,2021,1,State,California,California -- Statewide,Private,1022 Information,,29852,511234,553090,542482,34913186935,5014,1.68,2.14
3358,06000,06,0.0,5,1023,2021,1,State,California,California -- Statewide,Private,1023 Financial activities,,114634,812618,817331,817111,32096523972,3027,0.84,0.74
3359,06000,06,0.0,5,1024,2021,1,State,California,California -- Statewide,Private,1024 Professional and business services,,226083,2601423,2641412,2652159,75502726459,2207,1.09,1.11
3360,06000,06,0.0,5,1025,2021,1,State,California,California -- Statewide,Private,1025 Education and health services,,664432,2662708,2691285,2703178,38620941420,1106,1.02,0.88
3361,06000,06,0.0,5,1026,2021,1,State,California,California -- Statewide,Private,1026 Leisure and hospitality,,117850,1211181,1361101,1432522,11611476806,669,0.95,1.02
3362,06000,06,0.0,5,1027,2021,1,State,California,California -- Statewide,Private,1027 Other services,,97590,404423,443383,453415,5189691119,920,0.96,0.82
3363,06000,06,0.0,5,1029,2021,1,State,California,California -- Statewide,Private,1029 Unclassified,,460,1110,1304,1493,14144956,835,0.07,0.03
4374,08000,08,0.0,0,10,2021,1,State,Colorado,Colorado -- Statewide,Total Covered,"10 Total, all industries",,224528,2593922,2617656,2634072,45412830983,1336,1.0,1.0
4375,08000,08,0.0,1,10,2021,1,State,Colorado,Colorado -- Statewide,Federal Government,"10 Total, all industries",,1185,53393,53502,53688,1111953131,1598,1.0,0.97
4376,08000,08,0.0,2,10,2021,1,State,Colorado,Colorado -- Statewide,State Government,"10 Total, all industries",,716,106394,107949,108642,1892385406,1352,1.25,1.3
4377,08000,08,0.0,3,10,2021,1,State,Colorado,Colorado -- Statewide,Local Government,"10 Total, all industries",,1533,251540,252534,255438,3385908553,1029,0.99,0.92
4378,08000,08,0.0,5,10,2021,1,State,Colorado,Colorado -- Statewide,Private,"10 Total, all industries",,221094,2182595,2203671,2216304,39022583893,1364,0.99,1.0
4379,08000,08,0.0,5,101,2021,1,State,Colorado,Colorado -- Statewide,Private,101 Goods-producing,,30712,353040,354832,357655,6704915064,1452,0.91,0.94
4380,08000,08,0.0,5,1011,2021,1,State,Colorado,Colorado -- Statewide,Private,1011 Natural resources and mining,,3315,37913,38225,38764,966410779,1941,1.26,1.95
4381,08000,08,0.0,5,1012,2021,1,State,Colorado,Colorado -- Statewide,Private,1012 Construction,,21483,168864,169780,171735,2795662479,1264,1.29,1.27
4382,08000,08,0.0,5,1013,2021,1,State,Colorado,Colorado -- Statewide,Private,1013 Manufacturing,,5914,146263,146827,147156,2942841806,1543,0.64,0.66
4383,08000,08,0.0,5,102,2021,1,State,Colorado,Colorado -- Statewide,Private,102 Service-providing,,190382,1829555,1848839,1858649,32317668829,1347,1.01,1.01
4384,08000,08,0.0,5,1021,2021,1,State,Colorado,Colorado -- Statewide,Private,"1021 Trade, transportation, and utilities",,37067,480660,478124,477046,6734050706,1082,0.94,0.97
4385,08000,08,0.0,5,1022,2021,1,State,Colorado,Colorado -- Statewide,Private,1022 Information,,4882,74288,75027,74907,2744523774,2825,1.45,1.27
4386,08000,08,0.0,5,1023,2021,1,State,Colorado,Colorado -- Statewide,Private,1023 Financial activities,,26402,167537,168634,169332,4997704579,2282,1.1,0.88
4387,08000,08,0.0,5,1024,2021,1,State,Colorado,Colorado -- Statewide,Private,1024 Professional and business services,,61472,428784,433706,436741,10571859322,1878,1.13,1.18
4388,08000,08,0.0,5,1025,2021,1,State,Colorado,Colorado -- Statewide,Private,1025 Education and health services,,24157,337351,341168,340720,4491523827,1017,0.8,0.77
4389,08000,08,0.0,5,1026,2021,1,State,Colorado,Colorado -- Statewide,Private,1026 Leisure and hospitality,,17910,262704,273016,279978,1878323573,531,1.16,1.25
4390,08000,08,0.0,5,1027,2021,1,State,Colorado,Colorado -- Statewide,Private,1027 Other services,,17715,77113,78004,78634,875359580,864,1.05,1.05
4391,08000,08,0.0,5,1029,2021,1,State,Colorado,Colorado -- Statewide,Private,1029 Unclassified,,777,1118,1160,1291,24323468,1573,0.37,0.43
5511,09000,09,0.0,0,10,2021,1,State,Connecticut,Connecticut -- Statewide,Total Covered,"10 Total, all industries",,128243,1538025,1539734,1551929,31543468341,1572,1.0,1.0
5512,09000,09,0.0,1,10,2021,1,State,Connecticut,Connecticut -- Statewide,Federal Government,"10 Total, all industries",,575,18292,18301,18245,350521419,1475,0.58,0.44
5513,09000,09,0.0,2,10,2021,1,State,Connecticut,Connecticut -- Statewide,State Government,"10 Total, all industries",,613,60752,61530,61395,1111631056,1397,1.2,1.1
5514,09000,09,0.0,3,10,2021,1,State,Connecticut,Connecticut -- Statewide,Local Government,"10 Total, all industries",,2193,134946,134966,136580,2086432906,1184,0.9,0.81
5515,09000,09,0.0,5,10,2021,1,State,Connecticut,Connecticut -- Statewide,Private,"10 Total, all industries",,124862,1324035,1324937,1335709,27994882960,1621,1.01,1.03
5516,09000,09,0.0,5,101,2021,1,State,Connecticut,Connecticut -- Statewide,Private,101 Goods-producing,,14256,208516,207804,211294,4483417958,1649,0.91,0.9
5517,09000,09,0.0,5,1011,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1011 Natural resources and mining,,484,4108,4139,4532,45227184,817,0.25,0.13
5518,09000,09,0.0,5,1012,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1012 Construction,,9394,53394,52646,54618,947142993,1360,0.69,0.62
5519,09000,09,0.0,5,1013,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1013 Manufacturing,,4378,151014,151019,152144,3491047781,1774,1.13,1.13
5520,09000,09,0.0,5,102,2021,1,State,Connecticut,Connecticut -- Statewide,Private,102 Service-providing,,110606,1115519,1117133,1124415,23511465002,1616,1.04,1.06
5521,09000,09,0.0,5,1021,2021,1,State,Connecticut,Connecticut -- Statewide,Private,"1021 Trade, transportation, and utilities",,24831,289796,283918,283412,4002489624,1078,0.95,0.83
5522,09000,09,0.0,5,1022,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1022 Information,,3258,28820,29216,29184,1137310455,3009,0.96,0.76
5523,09000,09,0.0,5,1023,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1023 Financial activities,,11497,116314,116141,116241,7165207896,4742,1.28,1.81
5524,09000,09,0.0,5,1024,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1024 Professional and business services,,25009,202830,205854,206177,5344088292,2006,0.9,0.86
5525,09000,09,0.0,5,1025,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1025 Education and health services,,20737,319972,321819,324007,4641186896,1109,1.3,1.15
5526,09000,09,0.0,5,1026,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1026 Leisure and hospitality,,11023,109167,111443,115844,703815892,483,0.82,0.68
5527,09000,09,0.0,5,1027,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1027 Other services,,12494,47478,47488,48169,478574931,772,1.09,0.83
5528,09000,09,0.0,5,1029,2021,1,State,Connecticut,Connecticut -- Statewide,Private,1029 Unclassified,,1757,1142,1254,1381,38791016,2370,0.66,0.98
5691,10000,10,0.0,0,10,2021,1,State,Delaware,Delaware -- Statewide,Total Covered,"10 Total, all industries",,35760,425276,426043,430580,7027486193,1265,1.0,1.0
5692,10000,10,0.0,1,10,2021,1,State,Delaware,Delaware -- Statewide,Federal Government,"10 Total, all industries",,194,5843,5900,5890,108840712,1424,0.67,0.61
5693,10000,10,0.0,2,10,2021,1,State,Delaware,Delaware -- Statewide,State Government,"10 Total, all industries",,103,32704,33220,33313,427677683,995,2.35,1.9
5694,10000,10,0.0,3,10,2021,1,State,Delaware,Delaware -- Statewide,Local Government,"10 Total, all industries",,301,27084,27222,27400,363118742,1026,0.65,0.64
5695,10000,10,0.0,5,10,2021,1,State,Delaware,Delaware -- Statewide,Private,"10 Total, all industries",,35162,359645,359701,363977,6127849056,1305,1.0,1.01
5696,10000,10,0.0,5,101,2021,1,State,Delaware,Delaware -- Statewide,Private,101 Goods-producing,,4019,47971,47698,48598,763196879,1221,0.76,0.69
5697,10000,10,0.0,5,1011,2021,1,State,Delaware,Delaware -- Statewide,Private,1011 Natural resources and mining,,184,989,1002,1065,10634052,803,0.21,0.14
5698,10000,10,0.0,5,1012,2021,1,State,Delaware,Delaware -- Statewide,Private,1012 Construction,,3149,22167,21976,22825,335699629,1157,1.04,0.99
5699,10000,10,0.0,5,1013,2021,1,State,Delaware,Delaware -- Statewide,Private,1013 Manufacturing,,686,24815,24720,24708,416863198,1296,0.66,0.61
5700,10000,10,0.0,5,102,2021,1,State,Delaware,Delaware -- Statewide,Private,102 Service-providing,,31143,311674,312003,315379,5364652177,1318,1.05,1.08
5701,10000,10,0.0,5,1021,2021,1,State,Delaware,Delaware -- Statewide,Private,"1021 Trade, transportation, and utilities",,7082,78316,77386,77698,884473651,875,0.94,0.82
5702,10000,10,0.0,5,1022,2021,1,State,Delaware,Delaware -- Statewide,Private,1022 Information,,609,3294,3334,3317,76698482,1780,0.39,0.23
5703,10000,10,0.0,5,1023,2021,1,State,Delaware,Delaware -- Statewide,Private,1023 Financial activities,,3052,47160,47294,47470,1571432734,2555,1.88,1.78
5704,10000,10,0.0,5,1024,2021,1,State,Delaware,Delaware -- Statewide,Private,1024 Professional and business services,,10021,60422,61109,61982,1485125231,1868,0.98,1.07
5705,10000,10,0.0,5,1025,2021,1,State,Delaware,Delaware -- Statewide,Private,1025 Education and health services,,5542,73613,73423,73723,1032847335,1080,1.06,1.15
5706,10000,10,0.0,5,1026,2021,1,State,Delaware,Delaware -- Statewide,Private,1026 Leisure and hospitality,,2721,37893,38466,40084,213278713,423,1.02,0.92
5707,10000,10,0.0,5,1027,2021,1,State,Delaware,Delaware -- Statewide,Private,1027 Other services,,2116,10976,10991,11105,100796031,703,0.9,0.78
5821,12000,12,0.0,0,10,2021,1,State,Florida,Florida -- Statewide,Total Covered,"10 Total, all industries",,766901,8556687,8650067,8691899,123730371274,1102,1.0,1.0
5822,12000,12,0.0,1,10,2021,1,State,Florida,Florida -- Statewide,Federal Government,"10 Total, all industries",,2025,146183,147223,146909,2782760839,1458,0.83,0.89
5823,12000,12,0.0,2,10,2021,1,State,Florida,Florida -- Statewide,State Government,"10 Total, all industries",,2260,213052,215652,215866,2635575172,944,0.75,0.67
5824,12000,12,0.0,3,10,2021,1,State,Florida,Florida -- Statewide,Local Government,"10 Total, all industries",,1603,710695,712534,714391,9520040394,1028,0.84,0.95
5825,12000,12,0.0,5,10,2021,1,State,Florida,Florida -- Statewide,Private,"10 Total, all industries",,761013,7486757,7574658,7614733,108791994869,1107,1.03,1.02
5826,12000,12,0.0,5,101,2021,1,State,Florida,Florida -- Statewide,Private,101 Goods-producing,,103481,1010503,1020399,1028410,14753036126,1113,0.79,0.76
5827,12000,12,0.0,5,1011,2021,1,State,Florida,Florida -- Statewide,Private,1011 Natural resources and mining,,5456,75778,76540,77019,689978706,694,0.76,0.51
5828,12000,12,0.0,5,1012,2021,1,State,Florida,Florida -- Statewide,Private,1012 Construction,,76276,556215,562566,567838,7594835082,1039,1.29,1.27
5829,12000,12,0.0,5,1013,2021,1,State,Florida,Florida -- Statewide,Private,1013 Manufacturing,,21749,378510,381293,383553,6468222338,1306,0.51,0.53
5830,12000,12,0.0,5,102,2021,1,State,Florida,Florida -- Statewide,Private,102 Service-providing,,657532,6476254,6554259,6586323,94038958743,1106,1.08,1.08
5831,12000,12,0.0,5,1021,2021,1,State,Florida,Florida -- Statewide,Private,"1021 Trade, transportation, and utilities",,145923,1791726,1798703,1792911,22508855455,965,1.08,1.19
5832,12000,12,0.0,5,1022,2021,1,State,Florida,Florida -- Statewide,Private,1022 Information,,14551,130600,133836,133371,3730250175,2164,0.78,0.63
5833,12000,12,0.0,5,1023,2021,1,State,Florida,Florida -- Statewide,Private,1023 Financial activities,,84736,591898,596056,599960,15474713218,1997,1.18,1.0
5834,12000,12,0.0,5,1024,2021,1,State,Florida,Florida -- Statewide,Private,1024 Professional and business services,,190149,1385520,1403801,1409445,24793406534,1363,1.1,1.01
5835,12000,12,0.0,5,1025,2021,1,State,Florida,Florida -- Statewide,Private,1025 Education and health services,,88635,1302954,1315471,1316789,17518087707,1027,0.94,1.1
5836,12000,12,0.0,5,1026,2021,1,State,Florida,Florida -- Statewide,Private,1026 Leisure and hospitality,,61117,1013768,1043122,1068596,7291641806,538,1.35,1.79
5837,12000,12,0.0,5,1027,2021,1,State,Florida,Florida -- Statewide,Private,1027 Other services,,56066,254235,257160,259483,2641675038,791,1.05,1.16
5838,12000,12,0.0,5,1029,2021,1,State,Florida,Florida -- Statewide,Private,1029 Unclassified,,16355,5553,6110,5768,80328810,1063,0.49,0.52
7061,13000,13,0.0,0,10,2021,1,State,Georgia,Georgia -- Statewide,Total Covered,"10 Total, all industries",,327198,4344913,4375058,4397005,68025278611,1197,1.0,1.0
7062,13000,13,0.0,1,10,2021,1,State,Georgia,Georgia -- Statewide,Federal Government,"10 Total, all industries",,1727,106582,106739,106858,2062592655,1487,1.19,1.2
7063,13000,13,0.0,2,10,2021,1,State,Georgia,Georgia -- Statewide,State Government,"10 Total, all industries",,2721,133406,134591,135028,1851912481,1060,0.93,0.85
7064,13000,13,0.0,3,10,2021,1,State,Georgia,Georgia -- Statewide,Local Government,"10 Total, all industries",,3926,398814,393484,395084,4550828241,884,0.92,0.82
7065,13000,13,0.0,5,10,2021,1,State,Georgia,Georgia -- Statewide,Private,"10 Total, all industries",,318824,3706111,3740244,3760035,59559945234,1226,1.01,1.02
7066,13000,13,0.0,5,101,2021,1,State,Georgia,Georgia -- Statewide,Private,101 Goods-producing,,38042,610917,615819,619744,9534977232,1192,0.94,0.89
7067,13000,13,0.0,5,1011,2021,1,State,Georgia,Georgia -- Statewide,Private,1011 Natural resources and mining,,2866,28314,28210,28747,313167000,848,0.56,0.42
7068,13000,13,0.0,5,1012,2021,1,State,Georgia,Georgia -- Statewide,Private,1012 Construction,,24088,198499,200321,202188,3239074166,1244,0.91,0.98
7069,13000,13,0.0,5,1013,2021,1,State,Georgia,Georgia -- Statewide,Private,1013 Manufacturing,,11088,384104,387288,388809,5982736066,1190,1.02,0.9
