,job_title,company_name,company_location,job_description,date_posted
16,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
17,Sr Data Scientist,Netflix,"Los Gatos, CA+3 locations•Remote","You will help drive innovations through effective identification and application of analytics, causal inference, experimentation, and machine learning.",2021-12-02
18,"Data Scientist, Fraud, Talk",Spotify,"New York, NY+5 locations•Remote","Collaborate with data scientists, data engineers, and product managers to understand business needs and build solutions together.
New York or Remote Americas.",2021-11-07
19,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
20,"Data Scientist, Engineering",Google,"New York, NY (Chelsea area)+6 locations","At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and…",2021-11-07
21,"Statistician, Entry Level",Naval Nuclear Laboratory,"West Mifflin, PA 15122","Bachelor’s degree in a statistics, biostatistics, applied mathematics, actuarial science, or engineering from an accredited college or university and a minimum…",2021-12-03
22,Data Scientist I,Indeed,+2 locationsRemote,"We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving…",2021-12-04
23,"Senior Data Scientist, Core Experience",Spotify,"New York, NY+7 locations•Remote","Co-operate with cross-functional teams of data scientists, user researchers, product managers, designers and engineers who are passionate about our consumer…",2021-12-03
24,Statistician (Part Time) | Center for Sleep and Circadian Sc...,UPMC,"Pittsburgh, PA 15213 (North Oakland area)+1 location",Additional duties may include review of statistical components of protocols for scientific or IRB review and/or statistical analysis plans.,2021-12-04
25,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location",Govini is a decision science firm dedicated to transforming the business of national security through data science and machine learning.,2021-12-07
26,Data Scientist,Procter & Gamble,"Cincinnati, OH 45201 (Central Business District area)+7 locations","You will be working with a highly talented cross-functional team of R&D scientists and engineers with expertise in R&D, manufacturing processes and data…",2021-12-05
27,Data Scientist (Remote) - US,AlphaSights Ltd.,"New York, NY+1 location•Remote","Work in a highly collaborative environment with stakeholders, data scientists, engineers, and product managers.
You might be a fit if you:",2021-11-07
28,Data Scientist,National General Insurance,+1 locationRemote,Champion and project manage data related initiatives with engineering and business teams to improve the data science capabilities of Transparently.,2021-12-06
29,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
,job_title,company_name,company_location,job_description,date_posted
0,[],Indeed,+2 locationsRemote,"Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products.",2021-12-04
1,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
2,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
3,Data Scientist,UPMC,"Pittsburgh, PA 15224 (Central Lawrenceville area)","Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff.
Experience with machine learning models highly desired…",2021-11-07
4,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
5,Data Scientist II,Amazon.com Services LLC,+126 locationsRemote,"You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program…",2021-11-07
6,Data Scientist (REMOTE),DICK'S Sporting Goods,"Coraopolis, PA 15108•Remote","Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.",2021-11-07
7,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
8,"Data Scientist, University Graduate - 2022 Start",TikTok,"Mountain View, CA 94041 (Old Mountain View area)+24 locations","Demonstrated experience handling terabyte size datasets, applying statistics and machine learning techniques and algorithms, using visualization tools to…",2021-11-07
9,Data Scientist,Facebook App,"New York, NY+126 locations","Mine massive amounts of data and perform large-scale data analysis to extract useful business insights.
Develop data pipelines with automated, machine-learning…",2021-12-07
10,Safety Data Scientist,Aurora Innovation,"Pittsburgh, PA 15201 (Central Lawrenceville area)+1 location","Enthusiasm for applying data science to the toughest challenges in autonomous driving.
Identify, utilize, or create as appropriate the needed technical…",2021-11-07
11,Data Scientist,M J Brunner Inc,"Pittsburgh, PA 15222 (Strip District area)+1 location","You will demonstrate progress at working across the full analytics project lifecycle, from (1) requirements and scoping; through (2) data acquisition and…",2021-11-08
12,Data Scientist,Agile Onboarding,Remote,"test Required Skills test Desired Skills test About Agile Onboarding, LLC. Agile Onboarding is a people first company…",2021-12-03
13,Data Scientist,Equifax,"Austin, TX 73301 (St Edwards area)+1 location","Qualified candidates will have a strong academic background in mathematics or statistics, passion for data science, data mining, machine learning and experience…",2021-12-06
14,Data Scientist,Patrick J McGovern Foundation,Remote,"Expertise in machine learning approaches and applied AI with experience in geospatial analytics.
Contribute to a growing community of data and AI for good…",2021-12-03
15,Data Scientist,TikTok,"Mountain View, CA+24 locations","Knowledge in basic machine learning and deep learning;
The team is made up of machine learning researchers and engineers, who support and innovate on production…",2021-11-07
16,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
17,Sr Data Scientist,Netflix,"Los Gatos, CA+3 locations•Remote","You will help drive innovations through effective identification and application of analytics, causal inference, experimentation, and machine learning.",2021-12-02
18,"Data Scientist, Fraud, Talk",Spotify,"New York, NY+5 locations•Remote","Collaborate with data scientists, data engineers, and product managers to understand business needs and build solutions together.
Knowledge of Big Query a plus.",2021-11-07
19,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
20,"Data Scientist, Engineering",Google,"New York, NY (Chelsea area)+6 locations","Applied experience with machine learning on large datasets.
This position will bring scientific rigor and statistical methods to the challenges of product…",2021-11-07
21,"Statistician, Entry Level",Naval Nuclear Laboratory,"West Mifflin, PA 15122","Bachelor’s degree in a statistics, biostatistics, applied mathematics, actuarial science, or engineering from an accredited college or university and a minimum…",2021-12-03
22,Data Scientist,Emerald Resource Group,Remote,"We are looking for data scientists with a 4 years experience and Bachelor's , 2 years and Masters, or Ph.D degree.
Master's degree or Ph.D.",2021-12-06
23,Data Scientist I,Indeed,+2 locationsRemote,"Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products.",2021-12-04
24,"Senior Data Scientist, Core Experience",Spotify,"New York, NY+7 locations•Remote","Co-operate with cross-functional teams of data scientists, user researchers, product managers, designers and engineers who are passionate about our consumer…",2021-12-03
25,Statistician (Part Time) | Center for Sleep and Circadian Sc...,UPMC,"Pittsburgh, PA 15213 (North Oakland area)+1 location",Additional duties may include review of statistical components of protocols for scientific or IRB review and/or statistical analysis plans.,2021-12-04
26,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
27,Data Scientist,Procter & Gamble,"Cincinnati, OH 45201 (Central Business District area)+7 locations","You will be working with a highly talented cross-functional team of R&D scientists and engineers with expertise in R&D, manufacturing processes and data…",2021-12-05
28,Data Scientist (Remote) - US,AlphaSights Ltd.,"New York, NY+1 location•Remote","Work in a highly collaborative environment with stakeholders, data scientists, engineers, and product managers.",2021-11-07
29,Data Scientist,National General Insurance,+1 locationRemote,Champion and project manage data related initiatives with engineering and business teams to improve the data science capabilities of Transparently.,2021-12-06
,job_title,company_name,company_location,job_description,date_posted
0,Data Scientist,Propane Education & Research Council,Remote,"Develop, manage, and execute market research projects designed to deliver insights and recommendations to support strategic and tactical decision-making.",2021-12-07
1,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
2,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
3,Data Scientist,UPMC,"Pittsburgh, PA 15224 (Central Lawrenceville area)","Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff.
Experience with machine learning models highly desired…",2021-11-07
4,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
5,Data Scientist II,Amazon.com Services LLC,+126 locationsRemote,"You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program…",2021-11-07
6,Data Scientist (REMOTE),DICK'S Sporting Goods,"Coraopolis, PA 15108•Remote","Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.",2021-11-07
7,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
8,"Data Scientist, University Graduate - 2022 Start",TikTok,"Mountain View, CA 94041 (Old Mountain View area)+25 locations","Demonstrated experience handling terabyte size datasets, applying statistics and machine learning techniques and algorithms, using visualization tools to…",2021-11-07
9,Data Scientist 4,Oracle,United States+20 locations,"Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product,…",2021-12-06
10,Data Scientist I,Indeed,+2 locationsRemote,"Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products.",2021-12-04
11,Data Scientist,Facebook App,"New York, NY+126 locations","Mine massive amounts of data and perform large-scale data analysis to extract useful business insights.
Develop data pipelines with automated, machine-learning…",2021-12-07
12,Safety Data Scientist,Aurora Innovation,"Pittsburgh, PA 15201 (Central Lawrenceville area)+1 location","Enthusiasm for applying data science to the toughest challenges in autonomous driving.
Identify, utilize, or create as appropriate the needed technical…",2021-11-07
13,Data Scientist,M J Brunner Inc,"Pittsburgh, PA 15222 (Strip District area)+1 location","You will demonstrate progress at working across the full analytics project lifecycle, from (1) requirements and scoping; through (2) data acquisition and…",2021-11-08
14,Data Scientist,Agile Onboarding,Remote,"test Required Skills test Desired Skills test About Agile Onboarding, LLC. Agile Onboarding is a people first company…",2021-12-03
15,Data Scientist,TikTok,"Mountain View, CA+24 locations","Knowledge in basic machine learning and deep learning;
The team is made up of machine learning researchers and engineers, who support and innovate on production…",2021-11-07
16,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
17,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
18,Data Scientist,Emerald Resource Group,Remote,"We are looking for data scientists with a 4 years experience and Bachelor's , 2 years and Masters, or Ph.D degree.
Master's degree or Ph.D.",2021-12-06
19,Data Scientist,UPMC,"Pittsburgh, PA 15224 (Central Lawrenceville area)","Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff.
Experience with machine learning models highly desired…",2021-11-07
20,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location",Govini is a decision science firm dedicated to transforming the business of national security through data science and machine learning.,2021-12-07
21,Data Scientist II,Amazon.com Services LLC,+126 locationsRemote,"You will wrangle across multiple sources, apply the right machine learning s, and visualize insights for senior operations and business partners.",2021-11-07
22,Data Scientist (REMOTE),DICK'S Sporting Goods,"Coraopolis, PA 15108•Remote","Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.",2021-11-07
23,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
24,Data Scientist,Facebook App,"New York, NY+126 locations","Mine massive amounts of data and perform large-scale data analysis to extract useful business insights.
Develop data pipelines with automated, machine-learning…",2021-12-07
25,Safety Data Scientist,Aurora Innovation,"Pittsburgh, PA 15201 (Central Lawrenceville area)+1 location","Enthusiasm for applying data science to the toughest challenges in autonomous driving.
Drew Bagnell, also a Carnegie Mellon alum, is a machine learning expert…",2021-11-07
26,Data Scientist,M J Brunner Inc,"Pittsburgh, PA 15222 (Strip District area)+1 location","You will demonstrate progress at working across the full analytics project lifecycle, from (1) requirements and scoping; through (2) data acquisition and…",2021-11-08
27,Data Scientist,Agile Onboarding,Remote,Agile Onboarding is a people first company!,2021-12-03
28,Data Scientist,Equifax,"Austin, TX 73301 (St Edwards area)+1 location","Qualified candidates will have a strong academic background in mathematics or statistics, passion for data science, data mining, machine learning and experience…",2021-12-06
29,Data Scientist,Patrick J McGovern Foundation,Remote,"Expertise in machine learning approaches and applied AI with experience in geospatial analytics.
PJMF works in partnership with academic institutions, non…",2021-12-03
,job_title,company_name,company_location,job_description,date_posted
0,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
1,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
2,Data Scientist,UPMC,"Pittsburgh, PA 15224 (Central Lawrenceville area)","Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff.
Experience with machine learning models highly desired…",2021-11-07
3,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
4,Data Scientist II,Amazon.com Services LLC,+126 locationsRemote,"You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program…",2021-11-07
5,[],GTS Technology Solutions,Remote,"At least 1 - 2 years of professional experience in data science, quantitative analytics, or data modeling.
You will work closely with clients, data stewards,…",2021-11-30
6,Data Scientist,Emerald Resource Group,Remote,"We are looking for data scientists with a 4 years experience and Bachelor's , 2 years and Masters, or Ph.D degree.
Master's degree or Ph.D.",2021-12-06
7,Data Scientist (REMOTE),DICK'S Sporting Goods,"Coraopolis, PA 15108•Remote","Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.",2021-11-07
8,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
9,"Data Scientist, University Graduate - 2022 Start",TikTok,"Mountain View, CA 94041 (Old Mountain View area)+24 locations","Demonstrated experience handling terabyte size datasets, applying statistics and machine learning techniques and algorithms, using visualization tools to…",2021-11-07
10,Data Scientist I,Indeed,+2 locationsRemote,"Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products.",2021-12-04
11,Data Scientist,Facebook App,"New York, NY+126 locations","Mine massive amounts of data and perform large-scale data analysis to extract useful business insights.
Develop data pipelines with automated, machine-learning…",2021-12-07
12,Safety Data Scientist,Aurora Innovation,"Pittsburgh, PA 15201 (Central Lawrenceville area)+1 location","Enthusiasm for applying data science to the toughest challenges in autonomous driving.
Identify, utilize, or create as appropriate the needed technical…",2021-11-07
13,Data Scientist,M J Brunner Inc,"Pittsburgh, PA 15222 (Strip District area)+1 location","You will demonstrate progress at working across the full analytics project lifecycle, from (1) requirements and scoping; through (2) data acquisition and…",2021-11-08
14,Data Scientist,Agile Onboarding,Remote,"test Required Skills test Desired Skills test About Agile Onboarding, LLC. Agile Onboarding is a people first company…",2021-12-03
15,[],Indeed,+23 locationsRemote,"Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products.",2021-12-04
16,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
17,Sr Data Scientist,Netflix,"Los Gatos, CA+6 locations•Remote","You will help drive innovations through effective identification and application of analytics, causal inference, experimentation, and machine learning.",2021-12-02
18,"Data Scientist, Fraud, Talk",Spotify,"New York, NY+16 locations•Remote","Collaborate with data scientists, data engineers, and product managers to understand business needs and build solutions together.
Knowledge of Big Query a plus.",2021-11-07
19,Senior Data Scientist,Aignyte,+1 locationRemote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
20,"Data Scientist, Engineering",Google,"New York, NY (Chelsea area)","Applied experience with machine learning on large datasets.
This position will bring scientific rigor and statistical methods to the challenges of product…",2021-11-07
21,"Statistician, Entry Level",Naval Nuclear Laboratory,"West Mifflin, PA 15122","Bachelor’s degree in a statistics, biostatistics, applied mathematics, actuarial science, or engineering from an accredited college or university and a minimum…",2021-12-03
22,Statistician (Part Time) | Center for Sleep and Circadian Sc...,UPMC,"Pittsburgh, PA 15213 (North Oakland area)+5 locations",Additional duties may include review of statistical components of protocols for scientific or IRB review and/or statistical analysis plans.,2021-12-04
23,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+4 locations","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
24,Data Scientist,Procter & Gamble,"Cincinnati, OH 45201 (Central Business District area)+7 locations","You will be working with a highly talented cross-functional team of R&D scientists and engineers with expertise in R&D, manufacturing processes and data…",2021-12-05
25,Data Scientist (Remote) - US,AlphaSights Ltd.,"New York, NY+1 location•Remote","Work in a highly collaborative environment with stakeholders, data scientists, engineers, and product managers.",2021-11-07
26,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
27,Data Scientist,Microsoft,"Atlanta, GA+37 locations","Employ machine learning for detection, prediction, diagnosis, and optimization/recommendation.
Employ machine learning for detection, prediction, diagnosis, and…",2021-11-07
28,Data Scientist,Agile Onboarding,Remote,"test Required Skills test Desired Skills test About Agile Onboarding, LLC. Agile Onboarding is a people first company…",2021-12-03
29,Data Scientist,Patrick J McGovern Foundation,Remote,"Expertise in machine learning approaches and applied AI with experience in geospatial analytics.
Contribute to a growing community of data and AI for good…",2021-12-03
,job_title,company_name,company_location,job_description,date_posted
0,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
1,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
2,Data Scientist,UPMC,"Pittsburgh, PA 15224 (Central Lawrenceville area)","Implements plans for capturing and creating new data elements, working with Health Plan CIO and IT staff.
Experience with machine learning models highly desired…",2021-11-07
3,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
4,Data Scientist II,Amazon.com Services LLC,+126 locationsRemote,"You will collaborate closely as part of a blended science-based product team blending research, engineering, visual analytics, and product and program…",2021-11-07
5,Data Scientist,Propane Education & Research Council,Remote,"Develop, manage, and execute market research projects designed to deliver insights and recommendations to support strategic and tactical decision-making.",2021-12-07
6,Data Scientist (REMOTE),DICK'S Sporting Goods,"Coraopolis, PA 15108•Remote","Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.",2021-11-07
7,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
8,"Data Scientist, University Graduate - 2022 Start",TikTok,"Mountain View, CA 94041 (Old Mountain View area)+25 locations","Demonstrated experience handling terabyte size datasets, applying statistics and machine learning techniques and algorithms, using visualization tools to…",2021-11-07
9,Data Scientist 4,Oracle,United States+20 locations,"Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product,…",2021-12-06
10,Data Scientist,Facebook App,"New York, NY+126 locations","Mine massive amounts of data and perform large-scale data analysis to extract useful business insights.
Develop data pipelines with automated, machine-learning…",2021-12-07
11,Safety Data Scientist,Aurora Innovation,"Pittsburgh, PA 15201 (Central Lawrenceville area)+1 location","Enthusiasm for applying data science to the toughest challenges in autonomous driving.
Identify, utilize, or create as appropriate the needed technical…",2021-11-07
12,Data Scientist,M J Brunner Inc,"Pittsburgh, PA 15222 (Strip District area)+1 location","You will demonstrate progress at working across the full analytics project lifecycle, from (1) requirements and scoping; through (2) data acquisition and…",2021-11-08
13,Data Scientist,Agile Onboarding,Remote,"test Required Skills test Desired Skills test About Agile Onboarding, LLC. Agile Onboarding is a people first company…",2021-12-03
14,Data Scientist,Equifax,"Austin, TX 73301 (St Edwards area)+1 location","Qualified candidates will have a strong academic background in mathematics or statistics, passion for data science, data mining, machine learning and experience…",2021-12-06
15,Predictive Modeler,Lancer Insurance Company,Remote,"Collaborate with stakeholders to integrate data mining results with existing systems.
Develop and apply predictive models using multiple statistical and machine…",2021-12-03
16,Sr Data Scientist,Netflix,"Los Gatos, CA+3 locations•Remote","You will help drive innovations through effective identification and application of analytics, causal inference, experimentation, and machine learning.",2021-12-02
17,"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)","Experience working with data visualization tools (e.g. Shiny or Tableau).
Supervised and unsupervised learning techniques in machine learning (e.g.…",2021-12-03
18,"Data Scientist, Fraud, Talk",Spotify,"New York, NY+5 locations•Remote","Collaborate with data scientists, data engineers, and product managers to understand business needs and build solutions together.
Knowledge of Big Query a plus.",2021-11-07
19,Senior Data Scientist,Aignyte,Remote,"Experience managing teams and coaching less experienced data scientists.
Prior experience in consulting or data analytics product development is preferred, but…",2021-12-05
20,"Data Scientist, Engineering",Google,"New York, NY (Chelsea area)+6 locations","Applied experience with machine learning on large datasets.
This position will bring scientific rigor and statistical methods to the challenges of product…",2021-11-07
21,"Statistician, Entry Level",Naval Nuclear Laboratory,"West Mifflin, PA 15122","Bachelor’s degree in a statistics, biostatistics, applied mathematics, actuarial science, or engineering from an accredited college or university and a minimum…",2021-12-03
22,"Senior Data Scientist, Core Experience",Spotify,"New York, NY+7 locations•Remote","Co-operate with cross-functional teams of data scientists, user researchers, product managers, designers and engineers who are passionate about our consumer…",2021-12-03
23,Statistician (Part Time) | Center for Sleep and Circadian Sc...,UPMC,"Pittsburgh, PA 15213 (North Oakland area)+1 location",Additional duties may include review of statistical components of protocols for scientific or IRB review and/or statistical analysis plans.,2021-12-04
24,Data Scientist,Procter & Gamble,"Cincinnati, OH 45201 (Central Business District area)+7 locations","You will be working with a highly talented cross-functional team of R&D scientists and engineers with expertise in R&D, manufacturing processes and data…",2021-12-05
25,Data Scientist (Remote) - US,AlphaSights Ltd.,"New York, NY+1 location•Remote","Work in a highly collaborative environment with stakeholders, data scientists, engineers, and product managers.",2021-11-07
26,Data Scientist - Entry Level,Govini,"Pittsburgh, PA+1 location","Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.",2021-12-07
27,Data Scientist - remote,Pearson,"Elk Grove Village, IL+2 locations•Remote","The Data Scientist will be involved in all things analytics; leveraging statistics, machine learning methods, cloud engineering, and business intelligence tools…",2021-12-07
28,Data Scientist,"Visvero, Inc.","Pittsburgh, PA 15205","Master’s degree in Computer Science or related field or equivalent work experience, PhD being a significant plus · Courses in AI / Machine learning / Deep…",2021-11-13
29,Data Scientist,Microsoft,"Atlanta, GA+31 locations","Employ machine learning for detection, prediction, diagnosis, and optimization/recommendation.
Employ machine learning for detection, prediction, diagnosis, and…",2021-11-07
,job_title,company_name,company_location,job_description,date_posted
0,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
1,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
2,Senior Data Analyst,Checkmate Partners,Tennessee+9 locations,"As senior data analyst, you’ll join the work force of a fully remote team of data scientists, engineers and cross functional partners including product, growth,…",2021-12-06
3,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
